id,titulo,orientacion,carrera,resolucion,modalidad,institucion_id
59,LICENCIADO/A EN KINESIOLOGÍA Y FISIOTERAPIA,,LICENCIATURA EN KINESIOLOGÍA Y FISIOTERAPIA,R.M./1045/2020,PRESENCIAL,1
60,LICENCIADO/A EN LENGUA Y LITERATURA ALEMANAS,,LICENCIATURA EN LENGUA Y LITERATURA ALEMANAS,R.M./1399/2018,PRESENCIAL,1
61,LICENCIADO/A EN LENGUA Y LITERATURA CASTELLANAS,,LICENCIATURA EN LENGUA Y LITERATURA CASTELLANAS,R.M./1171/2019,PRESENCIAL,1
62,LICENCIADO/A EN LENGUA Y LITERATURA FRANCESAS,,LICENCIATURA EN LENGUA Y LITERATURA FRANCESAS,R.M./1403/2018,PRESENCIAL,1
63,LICENCIADO/A EN LENGUA Y LITERATURA INGLESAS,,LICENCIATURA EN LENGUA Y LITERATURA INGLESAS,R.M./475/2019,PRESENCIAL,1
64,LICENCIADO/A EN LENGUA Y LITERATURA ITALIANAS,,LICENCIATURA EN LENGUA Y LITERATURA ITALIANAS,R.M./409/2019,PRESENCIAL,1
65,LICENCIADO/A EN MATEMÁTICA,,LICENCIATURA EN MATEMÁTICA,R.R.016/71 - R.M./2258/2012,PRESENCIAL,1
66,LICENCIADO/A EN MATEMÁTICA APLICADA,,LICENCIATURA EN MATEMÁTICA APLICADA,R.M./3515/2019,PRESENCIAL,1
67,LICENCIADO/A EN NUTRICIÓN,,,R.M.0753/98,PRESENCIAL,1
68,LICENCIADO/A EN PINTURA,,LICENCIATURA EN PINTURA,EN TRAMITE,PRESENCIAL,1
69,LICENCIADO/A  EN PSICOLOGÍA,,LICENCIATURA EN PSICOLOGÍA,C.S - R.M./2132/2015,PRESENCIAL,1
70,LICENCIADO/A EN QUÍMICA,,,R.M.0364/95,PRESENCIAL,1
71,LICENCIADO/A EN TRABAJO SOCIAL,,LICENCIATURA EN TRABAJO SOCIAL,R.M.1084/94 - R.M./676/2011,PRESENCIAL,1
72,LICENCIADO/A EN TRABAJO SOCIAL,,,R.M.0791/05,PRESENCIAL,1
73,LICENCIADO EN ANTROPOLOGÍA,,,R.M.1000/09,PRESENCIAL,1
74,LICENCIADO EN ANTROPOLOGÍA,,LICENCIATURA EN ANTROPOLOGÍA,R.M./4218/2017,PRESENCIAL,1
75,LICENCIADO EN ARCHIVOLOGIA,,,R.M.0228/00,PRESENCIAL,1
76,LICENCIADO EN ASTRONOMIA,,LICENCIATURA EN ASTRONOMÍA,R.R.016/71 - R.M./1184/2012,PRESENCIAL,1
77,LICENCIADO EN BIBLIOTECOLOGIA Y DOCUMENTACION,,,R.M.0907/96,PRESENCIAL,1
78,LICENCIADO EN BIOQUIMICA CLINICA,,,C.S - R.M.0364/95 - R.M.1037/05,PRESENCIAL,1
79,LICENCIADO EN BIOTECNOLOGÍA,,LICENCIATURA EN BIOTECNOLOGÍA,R.M./202/2017,PRESENCIAL,1
80,LICENCIADO EN CIENCIAS DE LA COMPUTACIÓN,,,R.M.0673/99,PRESENCIAL,1
81,LICENCIADO EN CIENCIAS DE LA COMPUTACIÓN,,LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN,R.M./278/2017,PRESENCIAL,1
82,LICENCIADO EN CIENCIAS DE LA EDUCACION -CICLO DE LICENCIATURA,,LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN - CICLO -,R.M./36/2011,PRESENCIAL,1
83,LICENCIADO EN CINE Y ARTES AUDIOVISUALES,,LICENCIATURA EN CINE Y ARTES AUDIOVISUALES,R.M./4750/2017,PRESENCIAL,1
84,LICENCIADO EN CINE Y TELEVISION,,LICENCIATURA EN CINE Y TELEVISIÓN,R.M./1683/2013,PRESENCIAL,1
85,LICENCIADO EN CINE Y TV,,,C.S.,PRESENCIAL,1
86,LICENCIADO EN COMPOSICION MUSICAL,,,C.S- - R.M./0245/2011,PRESENCIAL,1
87,LICENCIADO EN COMPOSICIÓN MUSICAL CON ORIENTACIÓN EN LENGUAJES CONTEMPORÁNEOS,LENGUAJES CONTEMPORÁNEOS,LICENCIATURA EN COMPOSICIÓN MUSICAL CON ORIENTACIÓN EN LENGUAJES CONTEMPORÁNEOS Y EN NUEVAS TECNOLOGÍAS,R.M./245/2011 - R.M./268/2015,PRESENCIAL,1
88,LICENCIADO EN COMPOSICIÓN MUSICAL CON ORIENTACIÓN EN NUEVAS TECNOLOGÍAS, NUEVAS TECNOLOGÍAS,LICENCIATURA EN COMPOSICIÓN MUSICAL CON ORIENTACIÓN EN LENGUAJES CONTEMPORÁNEOS Y EN NUEVAS TECNOLOGÍAS,R.M./245/2011 - R.M./268/2015,PRESENCIAL,1
89,LICENCIADO EN COMPUTACION,,,R.M.2816/93,PRESENCIAL,1
90,LICENCIADO EN COMUNICACIÓN SOCIAL,,,R.M.0573/99,PRESENCIAL,1
91,LICENCIADO EN CONTABILIDAD,,,C.S,PRESENCIAL,1
92,LICENCIADO EN DIRECCION CORAL,,LICENCIATURA EN DIRECCIÓN CORAL,R.M./481/2012,PRESENCIAL,1
93,LICENCIADO EN EDUCACIÓN MUSICAL,,LICENCIATURA EN EDUCACIÓN MUSICAL,R.M./1666/2014,PRESENCIAL,1
94,LICENCIADO EN ESCULTURA,,LICENCIATURA EN ESCULTURA,C.S - R.M./1552/2012,PRESENCIAL,1
95,LICENCIADO EN ESPAÑOL LENGUA MATERNA Y LENGUA EXTRANJERA,,,R.M.1106/02,PRESENCIAL,1
96,LICENCIADO EN FISICA,,,R.R.016/71 - R.M.1113/09,PRESENCIAL,1
97,LICENCIADO EN FISICOQUIMICA,,,C.S,PRESENCIAL,1
98,LICENCIADO EN FONOAUDIOLOGÍA,,,R.M.0471/07,PRESENCIAL,1
99,LICENCIADO EN GEOGRAFIA,,,R.M.0192/03,PRESENCIAL,1
100,LICENCIADO EN GEOGRAFÍA,,LICENCIATURA EN GEOGRAFÍA,R.M./3579/2019,PRESENCIAL,1
101,LICENCIADO EN GRABADO,,LICENCIATURA EN GRABADO,C.S - R.M./1552/2012,PRESENCIAL,1
102,LICENCIADO EN INTERPRETACIÓN INSTRUMENTAL,,LICENCIATURA EN INTERPRETACIÓN INSTRUMENTAL,R.M./245/2011 - R.M./328/2015,PRESENCIAL,1
103,LICENCIADO EN KINESIOLOGIA Y FISIOTERAPIA,,,R.M.0365/89 - R.M.1015/02,PRESENCIAL,1
104,LICENCIADO EN LENGUA Y LITERATURA ALEMANAS,,,R.M.1471/93,PRESENCIAL,1
105,LICENCIADO EN LENGUA Y LITERATURA CASTELLANAS,,,R.M.1471/93,PRESENCIAL,1
106,LICENCIADO EN LENGUA Y LITERATURA FRANCESAS,,,R.M.1471/93,PRESENCIAL,1
107,LICENCIADO EN LENGUA Y LITERATURA INGLESAS,,,R.M.1471/93,PRESENCIAL,1
108,LICENCIADO EN LENGUA Y LITERATURA ITALIANAS,,,R.M.1471/93,PRESENCIAL,1
109,LICENCIADO EN LETRAS CLASICAS,,LICENCIATURA EN LETRAS CLÁSICAS,C.S - R.M./789/2012,PRESENCIAL,1
110,LICENCIADO EN LETRAS MODERNAS,,,C.S - R.M.0889/02 - R.M.1188/05,PRESENCIAL,1
111,LICENCIADO EN PERFECCIONAMIENTO INSTRUMENTAL (PIANO O VIOLIN),,,C.S,PRESENCIAL,1
112,"LICENCIADO EN PERFECCIONAMIENTO INSTRUMENTAL (PIANO, VIOLIN, VIOLA Y VIOLONCELLO)",,,R.M./0245/2011,PRESENCIAL,1
113,LICENCIADO EN PINTURA,,LICENCIATURA EN PINTURA,C.S - R.M./1552/2012,PRESENCIAL,1
114,LICENCIADO EN PRODUCCIÓN DE BIOIMÁGENES,,,R.M.0969/98 - R.M.0089/02 - R.M./1287/2012,PRESENCIAL,1
115,LICENCIADO EN PRODUCCIÓN DE BIOIMÁGENES,,,R.M.2125/97,PRESENCIAL,1
116,LICENCIADO EN PRODUCCIÓN DE BIO-IMÁGENES -CICLO DE COMPLEMENTACIÓN-,,LICENCIATURA EN PRODUCCIÓN DE BIO-IMÁGENES -CICLO-,R.M./1287/2012,PRESENCIAL,1
117,LICENCIADO  EN QUIMICA,,LICENCIATURA EN QUÍMICA,R.M./648/2016,PRESENCIAL,1
118,LICENCIADO  EN QUIMICA,,,R.M.0364/95,PRESENCIAL,1
119,LICENCIADO EN QUIMICA BIOLOGICA,,,C.S,PRESENCIAL,1
120,LICENCIADO EN QUIMICA FARMACEUTICA,,,R.M.0364/95,PRESENCIAL,1
121,LICENCIADO EN QUÍMICA FARMACÉUTICA,,LICENCIATURA EN QUÍMICA FARMACÉUTICA,R.M./397/2019,PRESENCIAL,1
122,LICENCIADO EN QUIMICA ORGANICA,,,C.S,PRESENCIAL,1
123,LICENCIADO EN SERVICIO SOCIAL,,,C.S,PRESENCIAL,1
124,LICENCIADO EN SOCIOLOGÍA,,LICENCIATURA EN SOCIOLOGÍA,R.M./1789/2010,PRESENCIAL,1
125,LICENCIADO EN TEATRO,,LICENCIATURA EN TEATRO,R.M./1857/2014 - R.M./1857/2014,PRESENCIAL,1
126,LICENCIADO EN TEATRO,,,C.S. - R.M.1117/93,PRESENCIAL,1
127,LICENCIADO EN TRABAJO SOCIAL-CICLO DE LICENCIATURA,,,R.M.0655/98,PRESENCIAL,1
128,MEDICO/A,,MEDICINA,R.M./393/2019,PRESENCIAL,1
129,MÉDICO/A,,MEDICINA,R.M.0962/10 - R.M./1486/2012,PRESENCIAL,1
130,MÉDICO/A CIRUJANO/A,,MEDICINA,R.M./255/2017,PRESENCIAL,1
131,MEDICO CIRUJANO,,,C.S,PRESENCIAL,1
132,NOTARIO,,,R.M.0434/00,PRESENCIAL,1
133,ODONTÓLOGO/A,,ODONTOLOGÍA,R.M./1968/2019,PRESENCIAL,1
134,ODONTÓLOGO/A,,ODONTOLOGÍA,C.S - R.M.0579/03-R.M.0247/04 - R.M./1199/2012 - R.M./1305/2018,PRESENCIAL,1
135,ODONTÓLOGO/A,,ODONTOLOGÍA,EN TRAMITE,PRESENCIAL,1
136,ODONTÓLOGO/A,,ODONTOLOGÍA,EN TRAMITE,PRESENCIAL,1
137,ODONTÓLOGO/A,,ODONTOLOGÍA,R.M./1283/2019,PRESENCIAL,1
138,ODONTÓLOGO/A,,ODONTOLOGÍA,EN TRAMITE,PRESENCIAL,1
139,PROFESOR/A DE LENGUA ALEMANA,,PROFESORADO DE LENGUA ALEMANA,R.M./416/2019,PRESENCIAL,1
140,PROFESOR/A DE LENGUA FRANCESA,,PROFESORADO DE LENGUA FRANCESA,R.M./134/2019,PRESENCIAL,1
141,PROFESOR/A DE LENGUA INGLESA,,PROFESORADO DE LENGUA INGLESA,R.M./539/2019,PRESENCIAL,1
142,PROFESOR/A DE LENGUA ITALIANA,,PROFESORADO DE LENGUA ITALIANA,R.M./91/2019,PRESENCIAL,1
143,PROFESOR/A DE LENGUA Y LITERATURA CASTELLANAS,,PROFESORADO DE LENGUA Y LITERATURA CASTELLANAS,R.M./2/2019,PRESENCIAL,1
144,PROFESOR/A DE TEATRO,,PROFESORADO  DE TEATRO,R.M./554/2015,PRESENCIAL,1
145,PROFESOR/A EN COMPOSICION MUSICAL,,,R.M./1191/2012,PRESENCIAL,1
146,PROFESOR/A EN HISTORIA,,,R.M./1195/2012 - R.M./0819/2014,PRESENCIAL,1
147,PROFESOR/A EN HISTORIA,,PROFESORADO EN HISTORIA,C.S,PRESENCIAL,1
148,"PROFESOR/A EN PERFECCIONAMIENTO INSTRUMENTAL (PIANO, VIOLIN, VIOLA O VIOLONCELLO)",,PROFESORADO EN PERFECCIONAMIENTO INSTRUMENTAL,R.M./1189/2012,PRESENCIAL,1
149,PROFESOR/A SUPERIOR DE EDUCACIÓN EN ARTES PLÁSTICAS (PINTURA),,PROFESORADO SUPERIOR DE EDUCACIÓN EN ARTES PLÁSTICAS (PINTURA),EN TRAMITE,PRESENCIAL,1
150,"PROFESOR DE CASTELLANO, LITERATURA Y LATIN",,,C.S,PRESENCIAL,1
151,PROFESOR DE ENSEÑANZA MEDIA Y SUPERIOR EN CIENCIAS ECONOMICAS,,PROFESORADO DE ENSEÑANZA MEDIA Y SUPERIOR EN CIENCIAS ECONÓMICAS -CICLO DE COMPLEMENTACIÓN CURRICULAR-,R.M./515/2013,PRESENCIAL,1
152,PROFESOR DE LENGUA Y LITERATURA ALEMANA,,,C.S,PRESENCIAL,1
153,PROFESOR DE LENGUA Y LITERATURA FRANCESA,,,C.S,PRESENCIAL,1
154,PROFESOR DE LENGUA Y LITERATURA INGLESA,,,C.S,PRESENCIAL,1
155,PROFESOR DE LENGUA Y LITERATURA ITALIANA,,,C.S,PRESENCIAL,1
156,PROFESOR DE LETRAS CLASICAS,,PROFESORADO EN LETRAS CLÁSICAS,C.S - R.M./1371/2012,PRESENCIAL,1
157,PROFESOR DE LETRAS MODERNAS,,,C.S,PRESENCIAL,1
158,PROFESOR DE PORTUGUES,,PROFESORADO DE PORTUGUÉS,R.M.0477/00,PRESENCIAL,1
159,PROFESOR EN CIENCIAS BIOLOGICAS,,,R.M.3317/94,PRESENCIAL,1
160,PROFESOR EN CIENCIAS DE LA EDUCACION,,,C.S - R.M.0762/03,PRESENCIAL,1
161,PROFESOR EN CIENCIAS JURÍDICAS,,PROFESORADO EN CIENCIAS JURÍDICAS,R.M./2740/2015,PRESENCIAL,1
162,PROFESOR EN COMPOSICION MUSICAL,,PROFESORADO EN COMPOSICIÓN MUSICAL,C.S - R.M./1191/2012,PRESENCIAL,1
163,PROFESOR EN EDUCACION MUSICAL,,,C.S,PRESENCIAL,1
164,PROFESOR EN EDUCACIÓN MUSICAL,,PROFESORADO EN EDUCACIÓN MUSICAL,R.M./1190/2012 - R.M./170/2015,PRESENCIAL,1
165,PROFESOR EN EDUCACIÓN PLÁSTICA Y VISUAL,,PROFESORADO EN EDUCACIÓN PLÁSTICA Y VISUAL,R.M./1720/2016,PRESENCIAL,1
166,PROFESOR EN ESPAÑOL LENGUA MATERNA Y LENGUA EXTRANJERA,,,R.M.1106/02,PRESENCIAL,1
167,PROFESOR EN FILOSOFÍA,,,C.S,PRESENCIAL,1
168,PROFESOR EN FILOSOFÍA,,,R.M.0797/05,PRESENCIAL,1
169,PROFESOR EN FÍSICA,,,R.M.0103/98,PRESENCIAL,1
170,PROFESOR EN LENGUA ALEMANA,,,R.M.1471/93,PRESENCIAL,1
171,PROFESOR EN LENGUA FRANCESA,,,R.M.1471/93,PRESENCIAL,1
172,PROFESOR EN LENGUA INGLESA,,,R.M.1471/93,PRESENCIAL,1
173,PROFESOR EN LENGUA ITALIANA,,,R.M.1471/93,PRESENCIAL,1
174,PROFESOR EN LENGUA Y LITERATURA CASTELLANAS,,,R.M.1471/93,PRESENCIAL,1
175,PROFESOR EN LETRAS MODERNAS,,,R.M.0310/03,PRESENCIAL,1
176,PROFESOR EN MATEMÁTICA,,,R.M.0103/98,PRESENCIAL,1
177,PROFESOR EN PERFECCIONAMIENTO MUSICAL,,,C.S,PRESENCIAL,1
178,PROFESOR EN PSICOLOGÍA,,,C.S,PRESENCIAL,1
179,PROFESOR EN PSICOLOGÍA,,PROFESORADO EN PSICOLOGÍA,R.M./1080/2017,PRESENCIAL,1
180,PROFESOR SUPERIOR DE EDUCACION EN ARTES PLASTICAS,,,C.S,PRESENCIAL,1
181,"PROFESOR SUPERIOR DE EDUCACIÓN EN ARTES PLÁSTICAS: PINTURA, ESCULTURA, GRABADO",,"PROFESORADO SUPERIOR DE EDUCACIÓN EN ARTES PLÁSTICAS: PINTURA, ESCULTURA, GRABADO",R.M./1512/2014,PRESENCIAL,1
182,PROFESOR SUPERIOR EN COMPOSICION,,,C.S,PRESENCIAL,1
183,PROFESOR SUPERIOR EN PIANO,,,C.S,PRESENCIAL,1
184,PROFESOR SUPERIOR EN VIOLA,,,C.S,PRESENCIAL,1
185,PROFESOR SUPERIOR EN VIOLIN,,,C.S,PRESENCIAL,1
186,PROFESOR SUPERIOR EN VIOLONCELLO,,,C.S,PRESENCIAL,1
187,PROFESOR UNIVERSITARIO EN COMUNICACIÓN SOCIAL -CICLO DE PROFESORADO,,PROFESORADO UNIVERSITARIO EN COMUNICACIÓN SOCIAL - CICLO -,R.M.1774/10 - R.M./1774/2010,PRESENCIAL,1
188,QUÍMICO/A INDUSTRIAL,,QUÍMICO INDUSTRIAL,R.M./2578/2019,PRESENCIAL,1
189,TRADUCTOR/A PÚBLICO/A DE INGLÉS,,TRADUCTORADO PÚBLICO NACIONAL DE INGLÉS,R.M./548/2018,PRESENCIAL,1
190,TRADUCTOR/A PÚBLICO/A NACIONAL DE ALEMÁN,,TRADUCTORADO PÚBLICO NACIONAL DE ALEMÁN,R.M./313/2018,PRESENCIAL,1
191,TRADUCTOR/A PÚBLICO/A NACIONAL DE FRANCÉS,,TRADUCTORADO PÚBLICO NACIONAL DE FRANCÉS,R.M./300/2018,PRESENCIAL,1
192,TRADUCTOR/A PÚBLICO/A NACIONAL DE ITALIANO,,TRADUCTORADO PÚBLICO NACIONAL DE ITALIANO,R.M./646/2018,PRESENCIAL,1
193,TRADUCTOR PUBLICO NACIONAL EN ALEMAN,,,R.M.1471/93,PRESENCIAL,1
194,TRADUCTOR PUBLICO NACIONAL EN FRANCES,,,R.M.1471/93,PRESENCIAL,1
195,TRADUCTOR PUBLICO NACIONAL EN INGLES,,,R.M.1471/93,PRESENCIAL,1
196,TRADUCTOR PUBLICO NACIONAL EN ITALIANO,,,R.M.1471/93,PRESENCIAL,1
197,ABOGADO/A,,,R.M.1153/01,PRESENCIAL,2
198,AGRIMENSOR/A,,INGENIERÍA EN AGRIMENSURA,R.M./1954/2017,PRESENCIAL,2
199,ANALISTA EN COMPUTACIÓN,,INGENIERÍA EN COMPUTACIÓN,R.M.1486/05,PRESENCIAL,2
200,ARQUEOLOGO,,,R.M.2150/88 - R.M.1227/99,PRESENCIAL,2
201,ARQUITECTO/A,,ARQUITECTURA,C.S. - R.M./1461/2012,PRESENCIAL,2
202,BAILARÍN/BAILARINA EN DANZA CONTEMPORÁNEA,,PROFESORADO EN DANZA CONTEMPORÁNEA,R.M./2466/2019,PRESENCIAL,2
203,BIOQUÍMICO/A,,BIOQUÍMICA,R.M.0972/98 - R.M.0072/08 - R.M./2350/2015 - R.M./2762/2017,PRESENCIAL,2
204,CONTADOR/A PÚBLICO NACIONAL,,CONTADOR PÚBLICO NACIONAL,R.M.0306/11,PRESENCIAL,2
205,DISEÑADOR/A DE ILUMINACIÓN,,DISEÑO DE ILUMINACIÓN,R.M./2378/2019,PRESENCIAL,2
206,DISEÑADOR DE INTERIORES Y EQUIPAMIENTO,,,R.M.2449/98,PRESENCIAL,2
207,ESCRIBANO,,,R.M.1153/01,PRESENCIAL,2
208,FARMACÉUTICO/A,,FARMACIA,R.M.0972/98 - R.M./2134/2015 - R.M./2761/2017,PRESENCIAL,2
209,GEÓLOGO/A,,GEOLOGÍA,R.M./33/2019,PRESENCIAL,2
210,GEÓLOGO/A,,GEOLOGÍA,R.M./2889/2017,PRESENCIAL,2
211,INGENIERO/A AGRIMENSOR/A,,,R.M.2500/98 - R.M./0069/2011,PRESENCIAL,2
212,INGENIERO/A AGRÓNOMO/A,,,R.M.0974/10,PRESENCIAL,2
213,INGENIERO/A AGRÓNOMO/A,,INGENIERÍA AGRONÓMICA,R.M./310/2018,PRESENCIAL,2
214,INGENIERO/A ELECTRÓNICO/A,,INGENIERÍA ELECTRÓNICA,R.M.0340/00 - R.M./0074/2011 - R.M./74/2011,PRESENCIAL,2
215,INGENIERO/A ELECTRÓNICO/A,,INGENIERÍA ELECTRÓNICA,R.M./597/2016,PRESENCIAL,2
216,INGENIERO/A  EN COMPUTACIÓN,,INGENIERÍA EN COMPUTACIÓN,R.M./1486/2005 - R.M./379/2015 - R.M./3660/2017 - R.M./329/2021,PRESENCIAL,2
217,INGENIERO/A INDUSTRIAL,,INGENIERÍA CIVIL,C.S. - R.M./0725/2012 - R.M./725/2012 - R.M./363/2017 - R.M./1054/2014 - R.M./1913/2017 - R.M./2651/2019,PRESENCIAL,2
218,INGENIERO/A INDUSTRIAL,,INGENIERÍA INDUSTRIAL,R.M.0347/99 - R.M./1054/2014,PRESENCIAL,2
